Phase 3 Variable Inventory (all eight sources) -- Run:   26AUG2026:14:28:22
Source               Variable                          Type    Length
MASTER_DATA_4        ICD10_Principal_Diagnosis           2         7
MASTER_DATA_4        Charlson_Comorbidity_Index          1         8
MASTER_DATA_4        COMP10_T80                          1         8
MASTER_DATA_4        COMP10_T81                          1         8
MASTER_DATA_4        COMP10_T82                          1         8
MASTER_DATA_4        COMP10_T83                          1         8
MASTER_DATA_4        COMP10_T84                          1         8
MASTER_DATA_4        COMP10_T85                          1         8
MASTER_DATA_4        COMP10_T86                          1         8
MASTER_DATA_4        COMP10_T87                          1         8
MASTER_DATA_4        COMP10_T88                          1         8
MASTER_DATA_4        complication_sum                    1         8
MASTER_DATA_4        Intraop_Ketamine                    2         1
MASTER_DATA_4        Preop_block                         2         1
MASTER_DATA_4        Admit_Source                        2        40
MASTER_DATA_4        Dischg_Disposition                  2        43
MASTER_DATA_4        Death_Days_After_Surgery            1         8
MASTER_DATA_4        Death_Date_Y_N                      2         1
MASTER_DATA_4        SSDI_Death_Y_N                      2         1
MASTER_DATA_4        Anesthesia_Type                     2        33
MASTER_DATA_4        Sleep_Apnea                         2         1
MASTER_DATA_4        Diabetes                            2         1
MASTER_DATA_4        Hyperlipidemia                      2         1
MASTER_DATA_4        Hypertension                        2         1
MASTER_DATA_4        MovementDisorder                    2         1
MASTER_DATA_4        Cognitive_Disorder                  2         1
MASTER_DATA_4        Cognitive_Category                  2        22
MASTER_DATA_4        Cognitive_Score                     1         8
MASTER_DATA_4        Frailty_Category                    2        24
MASTER_DATA_4        Frailty_Score                       1         8
MASTER_DATA_4        Latitude                            1         8
MASTER_DATA_4        Longitude                           1         8
MASTER_DATA_4        SORT_ID                             1         8
MASTER_DATA_4        Propofol_mg_IntraOp_Total           1         8
MASTER_DATA_4        Ketamine_mg_IntraOp_Total           1         8
MASTER_DATA_4        fentaNYL_SUBLIMAZE_mg_IntraOp_To    1         8
MASTER_DATA_4        Sufentanil_mg_IntraOp_Total         1         8
MASTER_DATA_4        Hydromorphone_mg_IntraOp_Total      1         8
MASTER_DATA_4        Lidocaine_mg_IntraOp_Total          1         8
MASTER_DATA_4        Oral_Morphine_Equiv_IntraOp_Tota    1         8
MASTER_DATA_4        ISO_Exp_IntraOp_Total               1         8
MASTER_DATA_4        ISO_Exp_IntraOp_MAC_Average         1         8
MASTER_DATA_4        ISO_Exp_IntraOp_MAC_Minutes_Tota    1         8
MASTER_DATA_4        ISO_Exp_IntraOp_MAC_Total           1         8
MASTER_DATA_4        SEV_Exp_IntraOp_Total               1         8
MASTER_DATA_4        SEV_Exp_IntraOp_MAC_Average         1         8
MASTER_DATA_4        SEV_Exp_IntraOp_MAC_Minutes_Tota    1         8
MASTER_DATA_4        SEV_Exp_IntraOp_MAC_Total           1         8
MASTER_DATA_4        ISO_SEV_IntraOp_MAC_Average         1         8
MASTER_DATA_4        Propofol_mg_1_7_Total               1         8
MASTER_DATA_4        Ketamine_mg_1_7_Total               1         8
MASTER_DATA_4        fentaNYL_SUBLIMAZE_mg__1_7_Total    1         8
MASTER_DATA_4        Sufentanil_mg__1_7_Total            1         8
MASTER_DATA_4        Hydromorphone_mg__1_7_Total         1         8
MASTER_DATA_4        Lidocaine_mg_1_7_Total              1         8
MASTER_DATA_4        Oral_Morphine_Equiv_Given__1_7_T    1         8
MASTER_DATA_4        ORAL_MORPHINE_EQUIV_mg_POD_DAY1     1         8
MASTER_DATA_4        ORAL_MORPHINE_EQUIV_mg_POD_DAY2     1         8
MASTER_DATA_4        ORAL_MORPHINE_EQUIV_mg_POD_DAY3     1         8
MASTER_DATA_4        ORAL_MORPHINE_EQUIV_mg_POD_DAY4     1         8
MASTER_DATA_4        ORAL_MORPHINE_EQUIV_mg_POD_DAY5     1         8
MASTER_DATA_4        ORAL_MORPHINE_EQUIV_mg_POD_DAY7     1         8
MASTER_DATA_4        ICU_LOS_TOTAL_TIME_HOURS            1         8
MASTER_DATA_5        PRECEDE_STUDY_ID                    2        12
MASTER_DATA_5        ENCRYPTED_MRN                       2        36
MASTER_DATA_5        ENCRYPTED_ENCOUNTER                 2        46
MASTER_DATA_5        rt_RM_START_to_INDUCTION_mins       1         8
MASTER_DATA_5        rt_RM_START_to_EMERGENCE_mins       1         8
MASTER_DATA_5        rt_ANCHOR_to_ADMIT_days             1         8
MASTER_DATA_5        rt_ANCHOR_to_SURGERY_days           1         8
MASTER_DATA_5        rt_ANCHOR_to_DISCHG_days            1         8
MASTER_DATA_5        rt_ADMIT_to_AN_START_mins           1         8
MASTER_DATA_5        rt_ADMIT_to_AN_END_mins             1         8
